SBrightlanelat,SBrightlanelon,SBmiddlelanelat,SBmiddlelanelon,SBleftlanelat,SBleftlanelon,NBleftlanelat,NBleftlanelon,NBmiddlelanelat,NBmiddlelanelon,NBrightlanelat,NBrightlanelon
46.395208,11.2959423866,46.395208,11.2961252437,46.395208,11.2959423866,46.395208,11.2959423866,46.395208,11.2960015462,46.395208,11.2959423866
46.39531,11.2959961681,46.395208,11.2961790252,46.39531,11.2959961681,46.39531,11.2959961681,46.395208,11.2960553277,46.39531,11.2959961681
46.39531,11.2958925126,46.39531,11.2961829328,46.39531,11.2958925126,46.39531,11.2958925126,46.39531,11.2960699916,46.39531,11.2958925126
46.395397,11.2959355378,46.39531,11.2962313361,46.395397,11.2959355378,46.395397,11.2959355378,46.39531,11.2961157059,46.395397,11.2959355378
46.395397,11.2959358908,46.395397,11.2962451345,46.395397,11.2959358908,46.395397,11.2959358908,46.395397,11.2961160588,46.395397,11.2959358908
46.3954865,11.2959842941,46.395397,11.2962962269,46.3954865,11.2959842941,46.3954865,11.2959842941,46.395397,11.2961644622,46.3954865,11.2959842941
46.3954865,11.2959797563,46.3954865,11.2962674874,46.3954865,11.2959797563,46.3954865,11.2959797563,46.3954865,11.2961545462,46.3954865,11.2959797563
46.3955905,11.2960308487,46.3954865,11.2963266471,46.3955905,11.2960308487,46.3955905,11.2960308487,46.3954865,11.2962110168,46.3955905,11.2960308487
46.3955905,11.2960421345,46.3955905,11.2963191092,46.3955905,11.2960421345,46.3955905,11.2960421345,46.3955905,11.296203479,46.3955905,11.2960421345
46.3956925,11.296095916,46.3955905,11.2963755798,46.3956925,11.296095916,46.3956925,11.296095916,46.3955905,11.2962626387,46.3956925,11.296095916
46.3956925,11.2960994454,46.3956925,11.2963791092,46.3956925,11.2960994454,46.3956925,11.2960994454,46.3956925,11.2962688571,46.3956925,11.2960994454
46.3957945,11.296158605,46.3956925,11.2964355798,46.3957945,11.296158605,46.3957945,11.296158605,46.3956925,11.2963253277,46.3957945,11.296158605
46.395882,11.2962168908,46.395882,11.2965046218,46.395882,11.2962168908,46.395882,11.2962168908,46.395882,11.2963863025,46.395882,11.2962168908
46.3959695,11.2962706723,46.395882,11.2965557143,46.3959695,11.2962706723,46.3959695,11.2962706723,46.395882,11.296437395,46.3959695,11.2962706723
46.3959695,11.2964832605,46.3959695,11.2965451092,46.3959695,11.2964832605,46.3959695,11.2964832605,46.3959695,11.2964321681,46.3959695,11.2964832605
46.396069,11.296537042,46.3959695,11.2966015798,46.396069,11.296537042,46.396069,11.296537042,46.3959695,11.2964913277,46.396069,11.296537042
46.396069,11.2963516471,46.396072717,11.2965587059,46.396069,11.2963516471,46.396069,11.2963516471,46.396069,11.2964834118,46.396069,11.2963516471
46.3961675,11.2964081176,46.396072717,11.2966178655,46.3961675,11.2964081176,46.3961675,11.2964081176,46.396069,11.2965425714,46.3961675,11.2964081176
46.3961675,11.2964754958,46.3961675,11.2966771765,46.3961675,11.2964754958,46.3961675,11.2964754958,46.3961675,11.2965588571,46.3961675,11.2964754958
46.3962675,11.2965346555,46.3961675,11.2967417143,46.3962675,11.2965346555,46.3962675,11.2965346555,46.3961675,11.2966207059,46.3962675,11.2965346555
46.3962675,11.2965663866,46.3962842368,11.2967304202,46.3962675,11.2965663866,46.3962675,11.2965663866,46.3962675,11.2966121008,46.3962675,11.2965663866
46.3963735,11.2966336134,46.3962842368,11.2967895798,46.3963735,11.2966336134,46.3963735,11.2966336134,46.3962675,11.2966793277,46.3963735,11.2966336134
46.3963790556,11.29651,46.3963753519,11.2967896639,46.3963790556,11.29651,46.3963790556,11.29651,46.3963735,11.2966794118,46.3963790556,11.29651
46.3964735,11.2965745378,46.3963753519,11.2968488235,46.3964735,11.2965745378,46.3964735,11.2965745378,46.3963735,11.2967439496,46.3964735,11.2965745378
46.3965767917,11.29663,46.3965749333,11.296915042,46.3965767917,11.29663,46.3965767917,11.29663,46.3965675,11.2968021008,46.3965767917,11.29663
46.396679,11.2966972269,46.3965749333,11.2969822689,46.396679,11.2966972269,46.396679,11.2966972269,46.3965675,11.2968720168,46.396679,11.2966972269
46.396679,11.2968084958,46.3966994417,11.2969805966,46.396679,11.2968084958,46.396679,11.2968084958,46.396679,11.2968676555,46.396679,11.2968084958
46.3967905,11.2968837899,46.3966994417,11.2970451345,46.3967905,11.2968837899,46.3967905,11.2968837899,46.396679,11.2969402605,46.3967905,11.2968837899
46.3968016667,11.296773,46.3968035278,11.2970661092,46.3968016667,11.296773,46.3968016667,11.296773,46.3967905,11.296950479,46.3968016667,11.296773
46.396891,11.2968267815,46.3968035278,11.2971252689,46.396891,11.2968267815,46.396891,11.2968267815,46.3967905,11.2970150168,46.396891,11.2968267815
46.396891,11.2970595042,46.3969040926,11.2971186639,46.396891,11.2970595042,46.396891,11.2970595042,46.396891,11.2970084118,46.396891,11.2970595042
46.396992,11.2971213529,46.3969040926,11.2971805126,46.396992,11.2971213529,46.396992,11.2971213529,46.396891,11.2970729496,46.396992,11.2971213529
46.396992,11.2969110672,46.396992,11.2971853529,46.396992,11.2969110672,46.396992,11.2969110672,46.396992,11.2970751008,46.396992,11.2969110672
46.3970795,11.2969648487,46.396992,11.2972445126,46.3970795,11.2969648487,46.3970795,11.2969648487,46.396992,11.2971315714,46.3970795,11.2969648487
46.3970795,11.2971903277,46.3970795,11.2972575546,46.3970795,11.2971903277,46.3970795,11.2971903277,46.3970795,11.2971365462,46.3970795,11.2971903277
46.3971715,11.2972521765,46.3970795,11.2973167143,46.3971715,11.2972521765,46.3971715,11.2972521765,46.3970795,11.2971957059,46.3971715,11.2972521765
